,GUID,Material,Type
82,1QNxzag7L3bAmckf5lk9BR,['Red Pump \n'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
83,1QNxzag7L3bAmckf5lk9BZ,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
84,1QNxzag7L3bAmckf5lk9Bn,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
85,1QNxzag7L3bAmckf5lk9Bz,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
86,1QNxzag7L3bAmckf5lk977,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
87,1QNxzag7L3bAmckf5lk972,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
88,1QNxzag7L3bAmckf5lk97I,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
89,1QNxzag7L3bAmckf5lk97O,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
90,1QNxzag7L3bAmckf5lk97Z,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
91,1QNxzag7L3bAmckf5lk97X,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
92,1QNxzag7L3bAmckf5lk97l,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
93,1QNxzag7L3bAmckf5lk97j,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
94,1QNxzag7L3bAmckf5lk97f,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
95,1QNxzag7L3bAmckf5lk97r,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
96,1QNxzag7L3bAmckf5lk97p,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
97,1QNxzag7L3bAmckf5lk97$,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
98,1QNxzag7L3bAmckf5lk97z,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
99,1QNxzag7L3bAmckf5lk97x,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
100,1QNxzag7L3bAmckf5lk97v,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
101,1QNxzag7L3bAmckf5lk965,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
102,1QNxzag7L3bAmckf5lk963,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
103,1QNxzag7L3bAmckf5lk961,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
104,1QNxzag7L3bAmckf5lk96D,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
105,1QNxzag7L3bAmckf5lk969,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
106,1QNxzag7L3bAmckf5lk943,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
107,1QNxzag7L3bAmckf5lk94E,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
108,1QNxzag7L3bAmckf5lk94w,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
109,1QNxzag7L3bAmckf5lk936,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
110,1QNxzag7L3bAmckf5lk934,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
111,1QNxzag7L3bAmckf5lk93A,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
112,1QNxzag7L3bAmckf5lk93b,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
113,1QNxzag7L3bAmckf5lk92U,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
114,1QNxzag7L3bAmckf5lk91J,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
115,1QNxzag7L3bAmckf5lk9VY,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
116,1QNxzag7L3bAmckf5lk9UB,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
117,1QNxzag7L3bAmckf5lk9RY,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
118,1QNxzag7L3bAmckf5lk9RW,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
119,1QNxzag7L3bAmckf5lk8Cd,['No material is associated with this element'],M_Elbow - Welded - Generic:Standard
120,1QNxzag7L3bAmckf5lk88K,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
